Willow Stark	ORGANIZATION	accidentally set Bo and Hope 's house on fire , she panicked and attempted to frame Chelsea by planting her hairbrush at the crime scene .
		
		At
Chelsea	ORGANIZATION	's cry of innocence ,
Nick	PERSON	risked his medical career by stealing the hairbrush out of the forensics lab .
		
		Chelsea was so grateful , she was able to forgive
Nick	PERSON	for his indiscretion with Billie , and they soon rekindled their romance .
		
		Later ,
Willow	ORGANIZATION	emerged as a threat to
Nick	PERSON	and
Chelsea	ORGANIZATION	's happiness .
		
		When
Nick	PERSON	stole the hairbrush , it left Willow as the only suspect for the fire .
		
		Nick felt sorry for
Willow	ORGANIZATION	and lent her money .
		
		Willow asked for more money , and
Nick	PERSON	leased an apartment for her and gave her his credit card to use for her and her baby .
		
		Willow used
Nick	PERSON	's credit card excessively , then she called
Nick	PERSON	and blackmailed him into giving her more money , credit cards , and all kinds of stuff .
		
		Nick later went to the beach to meet
Willow	ORGANIZATION	and they got in an argument and a struggle that lead to Willow falling , and hitting her head on a log .
		
		Nick tried to revive her but
Willow	ORGANIZATION	died .
		
		He found the hairbrush in
Willow	LOCATION	's possession and buried it in the sand on the beach before calling for help .
		
		While
Nick	PERSON	was investigated by detective
Roman Brady	PERSON	, he convinced
Chelsea	LOCATION	to go to the beach and destroy the hairbrush .
		
		Roman eventually learned the truth , and gave both
Chelsea	LOCATION	and
Nick	PERSON	a pass by closing the investigation .
		
		Nick was also blackmailed by
Kate Roberts	PERSON	into making
Sami	PERSON	's amniocentesis say that EJ was the father of
Sami	ORGANIZATION	's twins .
		
		Nick saved
Sami Brady	PERSON	and
Lucas Roberts	PERSON	from a bomb that Dr.
Rolf	PERSON	planted , sustaining head injuries in the process .
		
		While suffering from a concussion ,
Nick	PERSON	went to
Las Vegas	LOCATION	and married a woman named
Cassandra Arvin	PERSON	, who was using the alias ``
China	LOCATION	Lee '' .
		
		Arvin was eventually persuaded to sign annulment papers .
		
		Then she was arrested and went to jail for soliciting , leaving
Nick	PERSON	with custody of her two sons ,
Artemis	ORGANIZATION	and Demarquette .
		
		Nick deduced that
Artemis	ORGANIZATION	and Demarquette were not really
China	LOCATION	Lee 's children , which she confirmed upon her release from jail .
		
		She had been hired to protect the boys , but refused to retake custody of them .
		
		A man named
Umar Maboud	PERSON	came to
Nick	PERSON	's home and claimed that he worked for the boys ' parents and had been sent to bring them home .
		
		
Nick	PERSON	did not trust Maboud , and
Jeremy Horton	PERSON	#NOM?
Nick	PERSON	at the time -RRB- successfully fought him off .
		
		Weeks later ,
Chelsea	PERSON	was abducted and was permitted to use her cell phone only to contact
Nick	PERSON	, who was directed to come to a designated location , alone .
		
		When he did , the kidnapper offered a hostage exchange :
Artemis	ORGANIZATION	and Demarquette for
Chelsea	ORGANIZATION	.
		
		Unbeknownst to the man , the boys had followed
Nick	PERSON	to the warehouse , but were able to escape .
		
		While
Nick	PERSON	worked to avert the detonation of what turned out to be a fake bomb ,
Artemis	ORGANIZATION	and Demarquette were rescued by
Umar Maboud	PERSON	.
		
		Maboud really was in the employ of the boys ' parents , who were wealthy foreigners with many enemies .
		
		"Having secured political asylum , they wanted to be reunited with their sons ;"
Chelsea	ORGANIZATION	's abduction had been a ploy by the family 's enemies .
		
		Nick agreed to let
Artemis	ORGANIZATION	and Demarquette go .
		
		Nick and
Chelsea	ORGANIZATION	got back together .
		
		He helped
Chelsea	ORGANIZATION	find proof that
Ford Decker	PERSON	was the campus rapist by breaking into
Ford	ORGANIZATION	's room in order to take photographs of his drugs and journal .
		
		After the campus rapist situation was resolved ,
Chelsea	PERSON	and
Nick	PERSON	grew apart because of her attraction to Dr.
Daniel Jonas	PERSON	, and the two eventually broke up .
		
		Nick then began working on a research project involving alternative fuel sources and began a relationship with
Max Brady	PERSON	's half sister ,
Melanie Layton	PERSON	.
		
		Nick ultimately began stalking her and was then revealed to be the killer of
Trent Robbins	PERSON	,
Max	PERSON	and
Melanie	PERSON	's father .
		
		On
January 14 , 2009	DATE	,
Nick	PERSON	was tried for the murder of
Trent Robbins	PERSON	.
		
		Maggie and
Melanie	PERSON	gave testimony as to why
Nick	PERSON	should not be put in jail for the rest of his life .
		
		The judge agreed and gave
Nick	PERSON	the sentence of 2 to 5 years in a facility and 18 months for good behavior .
		
		Nick was thankful to
Melanie	PERSON	for her testimony as
Melanie	PERSON	told
Nick	PERSON	that she forgave him because deep down he was a good person .
		
		On
January 15 , 2009	DATE	,
Chelsea	PERSON	comes from the hospital to the courthouse .
		
		Nick tells
Chelsea	LOCATION	he 's sorry for everything and tells her to move on with her life .
		
		Chelsea tearfully tells
Nick	PERSON	that he will always have a piece of her heart and that he can focus on getting better .
		
		On
August 27 , 2012	DATE	,
Nick	PERSON	returned to Salem and , still in jail , had a parole hearing .
		
		Having been recently kidnapped ,
Melanie	PERSON	did not know how she felt .
		
		Against the advice of her family ,
Melanie	PERSON	decided that
Nick	PERSON	really had changed , but wanted him to stay away from her .
		
		Nick was released and threatened by
Chad	LOCATION	to stay away .
		
		Caroline forgave
Nick	PERSON	and gave him a job at the
Brady Pub	ORGANIZATION	.
		
		Chad beat
Nick	PERSON	up after believing that he had
Melanie	PERSON	, since he had her scarf .
		
		Later ,
Nick met Melanie	PERSON	's former friend Gabi , and they started dating .
		
		On
November 14	DATE	,
Gabi	PERSON	found out she was pregnant with her gay ex-boyfriend
Will Horton	PERSON	's baby .
		
		Nick agreed with
Gabi	PERSON	and Will that he would raise the child , and that he and Gabi would get married .
		
		Nick and
Gabi	PERSON	had a church wedding , but before they could be pronounced husband and wife ,
Chad objected	PERSON	, saying that
Nick	PERSON	was not the father of
Gabi	PERSON	's baby , and it finally came out that Will was the father .
		
		At a later date ,
Nick	PERSON	blackmailed Will to give up his parental rights to
Gabi	PERSON	's baby , by threatening to tell that Will was the one who shot EJ .
		
		With several other people around , including Sami ,
Lucas	PERSON	, EJ ,
Sonny	PERSON	, and an attorney
Nick	PERSON	brought , Will signed the agreement .
		
		Nick and Gabi married in a private ceremony .
		
		Only later did Gabi learn that Will gave up rights to the baby , but she did not learn about the blackmail , though Will tells her he did not want to do it .
		
		Nick had memories of something terrible that happened in jail , possibly involving another inmate ,
Vargas	PERSON	, who was recently released and getting help from the church to adjust to regular life .
		
		The terrible thing is later revealed to be repeated prison rape by another inmate named
Jensen	PERSON	.
		
		Nick was kidnapped , along with
Gabi	PERSON	, and held hostage by
Jensen	PERSON	.
		
		Will and
Sonny	PERSON	saved them , with Will getting shot in the process .
		
		Nick then tried to make things right , considering that Will almost died to save him , and agreed to have Will 's name on
Arianna	LOCATION	's birth certificate .
		
		Nick told Gabi the truth about his rape and about blackmailing Will .
		
		Nick was fired by
Kate	ORGANIZATION	in
June 2013	DATE	.
		
		In
August 2013	DATE	, when his parole was up , he was told to vacate the Kiriakis mansion immediately by
Victor Kiriakis	PERSON	.
		
		Nick became obsessed with
Gabi	PERSON	and got her a modeling job in
New York	LOCATION	, where he would be as well , hoping that they could be together .
		
		After
Gabi	PERSON	yelled at him for interfering in her life , he followed her to the park where he tried to rape her .
		
		Gabi hit him in the head with a rock and
Sami	PERSON	and
Kate	PERSON	helped her drag
Nick	PERSON	's body to the river where he briefly awoke before apparently drowning on
November 27	DATE	.
		
		On
January 24 , 2014	DATE	,
Nick	PERSON	arrived at
Gabi	ORGANIZATION	and Will 's daughter 's baptism revealing that he had not drowned .
		
		He appeared reformed but soon blackmailed
Kate	PERSON	into hiring him .
		
		Nick also manipulated Gabi into giving him another chance , and she felt that she must do so or risk going to jail for trying to murder
Nick	PERSON	.
		
		Nick later manipulated EJ and Sami into giving Gabi a modeling contract with
Countess Wilhelmina	ORGANIZATION	.
		
		Later ,
Nick	PERSON	got involved in a custody agreement of Will and
Gabi	PERSON	's daughter
Ari	PERSON	, pushing Gabi to only let Will see his daughter at times she allowed it .
		
		Will and
Sonny	PERSON	felt that
Nick	PERSON	would manipulate Gabi until he had
Gabi	PERSON	and
Ari	PERSON	to himself .
		
		In the meantime ,
EJ DiMera	ORGANIZATION	found out that someone had pictures of him and
Abigail Deveraux	PERSON	kissing sent to his house .
		
		EJ and
Abigail	PERSON	later found out that
Nick	PERSON	was behind it .
		
		On
May 9 , 2014	DATE	,
Nick	PERSON	was shot three times , once in the back and twice in the chest , and he died on
May 12	DATE	with an open investigation into who was responsible .
		
		On
May 30 , 2014	DATE	, It was revealed that it was
Gabi Hernandez	PERSON	who shot
Nick	PERSON	.
		
		* from soapcentral.com '' ` Fantômas '' ' -LRB- -RRB- is a fictional character created by French writers
Marcel Allain	PERSON	#NOM?
Pierre Souvestre	PERSON	-LRB- 1874-1914 -RRB- .
		
		One of the most popular characters in the history of French crime fiction , Fantômas was created in
1911	DATE	and appeared in a total of 32 volumes written by the two collaborators , then a subsequent 11 volumes written by
Allain	PERSON	alone after
Souvestre	ORGANIZATION	's death .
		
		The character was also the basis of various film , television , and comic book adaptations .
		
		In the history of crime fiction , he represents a transition from Gothic novel villains of the
19th century	DATE	to modern-day serial killers .
		
		The books and movies that came out in quick succession anticipate current production methods of
Hollywood	LOCATION	", in two respects : First , the authors distributed the writing among themselves ; their `` working method was to draw up the general plot between them and then go off and write alternate chapters independently of each other , meeting up to tie the two-halves of the story together in the final chapter . ''"
		
		This approach allowed the authors to produce almost one novel per month .
		
		Second , the movie rights to the books were immediately snapped up .
		
		Such a system ensured that the film studio could produce sequels reliably .
		
		New Fantomas stories set in period are currently appearing in Bold Venture Press ' pulp magazine AWESOMED Tales .
		
		The popular depiction of Fantômas as wearing a blue mask , black gloves , and using technological devices did not originate in the novels , but is a result of the popularity of the trilogy of Fantômas movies directed by
André Hunebelle	PERSON	in the
1960s	DATE	.
		
		The trilogy , which started in
1963	DATE	with Fantômas -LRB-
1964	DATE	film -RRB- | Fantômas , departed considerably from the novels by giving the story a more comedic tone , and by making Fantômas -LRB- played by
Jean Marais	PERSON	-RRB- more of a James Bond enemy .
		
		Despite these discrepancies , the blue-masked Fantômas is arguably the one that is most easily remembered .
		
		.
		
		Fantômas wears his iconic black hood and black leotard , more sinister features than the traditional gentleman thief 's domino mask and tuxedo .
		
		Fantômas is a criminal genius , ruthless and particularly elusive .
		
		As described by Schütt -LRB- 2003 -RRB- in her analysis of French crime fiction literature ,
Fantômas	PERSON	is the cause of almost any unsolved crime , a merciless criminal who can get away with his evil deeds by impersonating pretty much anyone .
		
		He is obsessively chased by Inspector Juve , who is generally the only one able to see
Fantômas	ORGANIZATION	's tracks .
		
		Fantômas was introduced a few years after
Arsène Lupin	PERSON	, another well-known thief .
		
		But whereas Lupin draws the line at murder , Fantômas has no such qualms and is shown as a sociopath who enjoys killing in a sadistic fashion .
		
		He is totally ruthless , gives no mercy , and is loyal to none , not even his own children .
		
		He is a master of disguise , always appearing under an assumed identity , often that of a person whom he has murdered .
		
		Fantômas makes use of bizarre and improbable techniques in his crimes , such as plague-infested rats , giant snakes , and rooms that fill with sand .
		
		Fantômas 's background remains vague .
		
		He might be of British and/or French ancestry .
		
		He appears to have been born in
1867	DATE	.
		
		In the books , it is established that c.
1892	DATE	, the man who later became Fantômas called himself
Archduke Juan North	ORGANIZATION	and operated in the German Principality of Hesse-Weimar .
		
		There he fathered a child ,
Vladimir	PERSON	, with an unidentified noblewoman .
		
		In circumstances unrevealed , he was arrested and sent to prison .
		
		C.
1895	DATE	, Fantômas was in
India	LOCATION	.
		
		There , an unidentified European woman gave birth to a baby girl ,
Hélène	PERSON	, whose father might be Fantômas or an Indian Prince who was Fantômas ' acolyte .
		
		The girl was raised in
South Africa	LOCATION	.
		
		In
1897	DATE	, Fantômas was in the
United States of America	LOCATION	and
Mexico	LOCATION	.
		
		There , he ruined his then-business partner ,
Etienne Rambert	PERSON	.
		
		In
1899	DATE	, he fought in the Second Boer War in
South Africa	LOCATION	under the name of Gurn .
		
		He fought in the
Transvaal	LOCATION	as an artillery sergeant under the command of
Lord Roberts	PERSON	.
		
		He became aide-de-camp to
Lord Edward Beltham of Scottwell Hill	ORGANIZATION	and fell in love with his younger wife , Lady
Maud Beltham	PERSON	.
		
		Upon their return to
Europe	LOCATION	, soon before the first novel begins -LRB- c.
1900	DATE	-RRB- ,
Gurn	PERSON	and Lady Beltham were surprised in their
Paris	LOCATION	love nest ,
Rue Levert	LOCATION	, by her husband .
		
		Lord
Beltham	PERSON	was about to shoot
Maud when Gurn	PERSON	hit him with a hammer then strangled him .
		
		Fantômas then impersonated
Etienne Rambert	PERSON	and framed his son ,
Charles	PERSON	, for a murder he had committed .
		
		As Etienne , he persuaded
Charles	PERSON	to go into hiding , but the young man was soon found out by French police detective Juve , truly obsessed with the capture of Fantômas .
		
		Juve knew that
Charles	PERSON	was innocent and gave him a new identity : journalist
Jerôme Fandor	PERSON	who is employed at the newspaper '' La Capitale '' .
		
		Juve later arrested
Gurn	PERSON	and , at his trial , brought forward a convincing argument that
Gurn	PERSON	and Fantômas were one and the same , though the evidence was too circumstantial to make a real case .
		
		On the eve of his execution , Gurn/Fant ômas escaped from custody by being replaced by an actor who had modelled the appearance of his latest character after him and was guillotined in his place .
		
		Lady Beltham remained constantly torn between her passion for the villain and her horror at his criminal schemes .
		
		She eventually committed suicide in
1910	DATE	.
		
		Fandor fell in love with
Hélène	PERSON	and , despite
Fantômas	PERSON	's repeated attempts to break them up , married her .
		
		Fantômas 's evil son ,
Vladimir	PERSON	, reappeared in
1911	DATE	.
		
		Vladimir 's girlfriend was murdered by
Fantômas	PERSON	and
Vladimir	PERSON	himself was eventually shot by
Juve	ORGANIZATION	.
		
		* '' ` Fantômas '' ' : A criminal genius , known by many nicknames , such as `` the `` master of everything and everyone , '' the `` torturer '' or the `` elusive '' , and whose face and true identity remain unknown .
		
		A ruthless criminal , he wo n't hesitate to torture and kill to achieve his goals .
		
		* '' ` Juve '' ' : An inspector in the Sûreté of
Paris	LOCATION	, he is the sworn archenemy of Fantômas , whom he pursues obsessively .
		
		The intelligent and stubborn
Juve	ORGANIZATION	is completely devoted to capture or kill Fantômas .
		
		* '' ` Jérôme Fandor '' ' : a former victim of Fantômas , he was originally named
Charles Rambert	PERSON	.
		
		Fantômas killed his parents and then framed him as the killer .
		
		Juve is the only one to understand his wrong accusation and then provides him with the identity of journalist Fandor so as to prevent him from going to jail and to use his help in capturing the murderer .
		
		He falls in love with Hélène .
		
		* '' ` Hélène '' ' : She is the beautiful stepdaughter of Fantômas , who might even be her biological father .
		
		The criminal protects her jealously .
		
		She falls in love with with
J. Fandor	PERSON	, and is engaged to marry him , eventually helping her fiancé to fight the criminal .
		
		* '' ` Lady
Maud Beltham	PERSON	'' ' : The wife of
Lord Beltham	PERSON	, she becomes the lover of Fantômas , towards whom she feels both passionate love and repulsion for his many crimes .
		
		* '' ` Bouzille '' ' : a streetwise tramp who is often helping Juve and Fandor , and even Fantômas on occasion , and provides comic relief in the series .
		
		* '' ` The Beadle '' ' : a thug and companion of Fantômas who earns his nickname after his custom of taking the money of passers-by by smashing their heads against the pavement , he is the more notorious of Fantômas gang of Apaches .
		
		* '' ` Mother Toulouche '' ' : An old woman who is a sort of leader among Fantômas ' Apaches .
		
		She is portrayed as an equally ruthless killer and thug .
		
		* 1 . ''
		
		Fantômas '' -LRB-
1911	DATE	"; transl ."
		
		
1915	DATE	"; retransl ."
		
		
1986	DATE	-RRB- * 2 . ''
		
		Juve contre Fantômas '' -LRB-
1911	DATE	"; transl ."
		
		
1916	DATE	"as '' '' ; retransl ."
		
		
1987	DATE	as '' The Silent Executioner '' -RRB- * 3 . ''
		
		Le Mort qui Tue '' -LRB-
1911	DATE	"; transl ."
		
		"1917 as '' '' ; retransl ."
		
		2008 as '' The Corpse who Kills '' -RRB- * 4 . ''
		
		L'Agent Secret '' -LRB-
1911	DATE	"; transl ."
		
		1917 as '' '' -RRB- * 5 . ''
		
		Un Roi Prisonnier de Fantômas '' -LRB-
1911	DATE	"; transl ."
		
		1918 as '' '' -RRB- * 6 . ''
		
		Le Policier Apache '' -LRB-
1911	DATE	"; transl ."
		
		1924 by
Alfred Allinson	PERSON	as '' The Long Arm of Fantômas '' -RRB- * 7 . ''
		
		Le Pendu de Londres '' -LRB-
1911	DATE	"; transl ."
		
		1920 as '' Slippery as Sin '' -RRB- * 8 . ''
		
		La Fille de Fantômas '' -LRB-
1911	DATE	"; transl ."
		
		2006 by
Mark P. Steele	PERSON	as '' The Daughter of Fantomas '' -RRB- -LRB- ISBN 1932983562 -RRB- * 9 . ''
		
		Le Fiacre de Nuit '' -LRB-
1911	DATE	-RRB- * 10 . ''
		
		La Main Coupée '' -LRB-
1911	DATE	"; transl ."
		
		1924 by
Alfred Allinson	PERSON	as '' The Limb of Satan '' -RRB- * 11 . ''
		
		L'Arrestation de Fantômas '' -LRB-
1912	DATE	-RRB- * 12 . ''
		
		Le Magistrat Cambrioleur '' -LRB-
1912	DATE	-RRB- * 13 . ''
		
		La Livrée du Crime '' -LRB-
1912	DATE	-RRB- * 14 . ''
		
		La Mort de Juve '' -LRB-
1912	DATE	-RRB- * 15 . ''
		
		L'Evadée de Saint-Lazare '' -LRB-
1912	DATE	-RRB- * 16 . ''
		
		La Disparition de Fandor '' -LRB-
1912	DATE	-RRB- * 17 . ''
		
		Le Mariage de Fantômas '' -LRB-
1912	DATE	-RRB- * 18 . ''
		
		L'Assassin de Lady Beltham '' -LRB-
1912	DATE	-RRB- * 19 . ''
		
		La Guêpe Rouge '' -LRB-
1912	DATE	-RRB- * 20 . ''
		
		Les Souliers du Mort '' -LRB-
1912	DATE	-RRB- * 21 . ''
		
		Le Train Perdu '' -LRB-
1912	DATE	-RRB- * 22 . ''
		
		Les Amours d'un Prince '' -LRB-
1912	DATE	-RRB- * 23 . ''
		
		Le Bouquet Tragique '' -LRB-
1912	DATE	-RRB- * 24 . ''
		
		Le Jockey Masqué '' -LRB-
1913	DATE	-RRB- * 25 . ''
		
		Le Cercueil Vide '' -LRB-
1913	DATE	-RRB- * 26 . ''
		
		Le Faiseur de Reines '' -LRB-
1913	DATE	-RRB- * 27 . ''
		
		Le Cadavre Géant '' -LRB-
1913	DATE	-RRB- * 28 . ''
		
		Le Voleur d'Or '' -LRB-
1913	DATE	-RRB- * 29 . ''
		
		La Série Rouge '' -LRB-
1913	DATE	-RRB- * 30 . ''
		
		L'Hôtel du Crime '' -LRB-
1913	DATE	-RRB- * 31 . ''
		
		La Cravate de Chanvre '' -LRB-
1913	DATE	-RRB- * 32 . ''
		
		La Fin de Fantômas '' -LRB-
1913	DATE	-RRB- * 33 . ''
		
		Fantômas est-il ressuscité ? ''
		
		-LRB-
1925	DATE	"; transl ."
		
		1925 by
Alfred Allinson	PERSON	as '' The Lord of Terror '' -RRB- * 34 . ''
		
		Fantômas , Roi des Recéleurs '' -LRB-
1926	DATE	"; transl ."
		
		1926 by
Alfred Allinson	PERSON	as '' Juve in the Dock '' -RRB- * 35 . ''
		
		Fantômas en Danger '' -LRB-
1926	DATE	"; transl ."
		
		1926 by
Alfred Allinson	PERSON	as '' Fantômas Captured '' -RRB- * 36 . ''
		
		Fantômas prend sa Revanche '' -LRB-
1926	DATE	"; transl ."
		
		1927 by
Alfred Allinson	PERSON	as '' The Revenge of Fantômas '' -RRB- * 37 . ''
		
		Fantômas Attaque Fandor '' -LRB-
1926	DATE	"; transl ."
		
		1928 by
Alfred Allinson	PERSON	as '' Bulldog and Rats '' -RRB- * 38 . ''
		
		Si c ' était Fantômas ? ''
		
		-LRB-
1933	DATE	-RRB- * 39 . ''
		
		Oui , c'est Fantômas ! ''
		
		-LRB-
1934	DATE	-RRB- * 40 . ''
		
		Fantômas Joue et Gagne '' -LRB-
1935	DATE	-RRB- * 41 . ''
		
		Fantômas Rencontre l'Amour '' -LRB-
1946	DATE	-RRB- * 42 . ''
		
		Fantômas Vole des Blondes '' -LRB-
1948	DATE	-RRB- * 43 . ''
		
		Fantômas Mène le Bal '' -LRB-
1963	DATE	-RRB- * The original covers by
Gino Starace	PERSON	are often considered works of lurid genius in themselves and may be seen at the `` Fantômas Lives '' site .
		
		The first Fantômas book cover , showing a contemplative masked man dressed in evening dress and holding a dagger , boldly stepping over
Paris	LOCATION	, is so well known that it has become a visual cliché .
		
		* The novel '' The Yellow Document , or Fantômas of
Berlin	LOCATION	'' by
Marcel Allain	PERSON	-LRB-
1919	DATE	-RRB- , despite its title , is not a Fantômas novel .
		
		* The last novel written by
Allain	PERSON	was published as a newspaper serial , but never appeared in book form .
		
		* During the
1980s	DATE	, the first two novels of the series were published in revised English translations : '' Fantômas '' appeared in
1986	DATE	with an introduction by American poet
John Ashbery	PERSON	"; and '' Juve contre Fantômas '' appeared in"
1987	DATE	under the title '' The Silent Executioner '' , with an introduction by American artist
Edward Gorey	PERSON	.
		
		.
		
		In the original illustration for the first '' Fantômas '' book cover , the character holds a bloody dagger in his free hand.It was also used for the
DVD	ORGANIZATION	box cover , but this time
Fantômas	PERSON	stamps over a photo of modern-day
Paris	LOCATION	.
		
		* 1 . ''
		
		Fantômas -LRB-
1913	DATE	serial -RRB- | Fantômas '' -LRB-
1913	DATE	-RRB- * 2 . ''
		
		Juve Contre Fantômas '' -LRB-
1913	DATE	-RRB- * 3 . ''
		
		Le Mort Qui Tue '' -LRB-
1913	DATE	-RRB- * 4 . ''
		
		Fantômas Contre Fantômas '' -LRB-
1914	DATE	-RRB- * 5 . ''
		
		Le Faux Magistrat '' -LRB-
1914	DATE	#NOM?
Louis Feuillade	PERSON	directed five '' Fantômas '' serials starring
René Navarre	PERSON	as
Fantômas	LOCATION	,
Bréon	PERSON	as
Juve	ORGANIZATION	,
Georges Melchior	PERSON	as Fandor , and
Renée Carl	PERSON	as Lady Beltham .
		
		They are regarded as masterpieces of silent film .
		
		His later serial '' Les Vampires '' , which concerns the eponymous crime syndicate -LRB- and not actual vampires -RRB- is also reminiscent of the '' Fantômas '' series .
		
		There was a
1920	DATE	20-episode American '' Fantômas -LRB-
1920	DATE	serial -RRB- | Fantômas '' serial directed by
Edward Sedgwick	PERSON	starring
Edward Roseman	PERSON	as
Fantômas	LOCATION	, which bore little resemblance to the French series .
		
		In it ,
Fantômas	ORGANIZATION	's nemesis is detective
Fred Dixon	PERSON	, played by
John Willard	PERSON	.
		
		It was partially released in
France	LOCATION	-LRB- 12 episodes only -RRB- under the title '' Les Exploits de Diabolos '' -LRB- '' The Exploits of Diabolos '' -RRB- .
		
		A novelization of this serial was written by
David Lee White	PERSON	for
Black Coat Press	ORGANIZATION	under the title '' Fantômas in
America	LOCATION	'' in
2007	DATE	.
		
		* 6 . ''
		
		Fantômas -LRB-
1932	DATE	film -RRB- | Fantômas '' -LRB-
1932	DATE	-RRB- , directed by
Paul Fejos	PERSON	|
Paul Féjos	PERSON	with
Jean Galland	PERSON	as Fantômas .
		
		* 7 . ''
		
		Monsieur Fantômas '' -LRB-
1937	DATE	-RRB- , directed by
Ernst Moerman	ORGANIZATION	.
		
		* 8 . ''
		
		Fantômas -LRB-
1946	DATE	film -RRB- | Fantômas '' -LRB-
1946	DATE	-RRB- , directed by
Jean Sacha	PERSON	with
Marcel Herrand	PERSON	as Fantomas .
		
		* 9 . ''
		
		Fantômas contre Fantômas '' -LRB-
1948	DATE	-RRB- , directed by
Robert Vernay	PERSON	with
Maurice Teynac	PERSON	as Fantomas .
		
		* 10 . ''
		
		Fantômas -LRB-
1964	DATE	film -RRB- | Fantômas '' -LRB-
1964	DATE	-RRB- , the first of three films directed by
André Hunebelle	PERSON	"; with"
Jean Marais	PERSON	as both
Fantômas	PERSON	and Fandor ,
Louis	LOCATION	de Funès as
Juve	ORGANIZATION	, and
Mylène Demongeot	PERSON	as
Fandor	ORGANIZATION	's bride , the photographer Hélène .
		
		Their tone was generally much more light-hearted than the novels ' and the characters were updated in a James Bond-like style including Bond-type gadgets like the flying Citroën DS of Fantômas with retractable wings that converts to an airplane .
		
		* 11 . ''
		
		Fantômas se déchaîne '' -LRB-
1965	DATE	-RRB- * 12 . ''
		
		Fantômas contre
Scotland	LOCATION	Yard '' -LRB-
1966	DATE	-RRB- * 13 . ''
		
		Fantômas '' -LRB- in development -RRB- , directed by
Christophe Gans	PERSON	.
		
		A '' Fantômas '' series of four 90-minute episodes was produced in
1980	DATE	starring
Helmut Berger	PERSON	as
Fantômas	LOCATION	,
Jacques Dufilho	PERSON	as
Juve	ORGANIZATION	, and
Gayle Hunnicutt	PERSON	as Lady Beltham .
		
		Episodes 1 and 4 were directed by
Claude Chabrol	PERSON	"; episodes 2 and 3 by"
Luis Buñuel	PERSON	's son ,
Juan Luis Buñuel	PERSON	.
		
		The Fantômas -LRB-
1964	DATE	film -RRB- | French movie version of '' Fantômas '' appears in the Czechoslovakian 1979-1981 children fantasy series '' Arabela '' as well as its sequel series '' Arabela se vraci '' , performed respectively by actors
František Peterka	PERSON	and
Pavel Nový	ORGANIZATION	.
		
		In this version , he does not perform a villain 's role , but becomes an ally and friend of the protagonists .
		
		Fantômas also has a cameo appearance in the Czech children 's series ''
Lucie	PERSON	, postrach ulice '' as a TV character , where he resembles his original
1911	DATE	book serial covers ' depiction .
		
		* `` Fantômas contre les Nains '' .
		
		A weekly color page written by
Marcel Allain	PERSON	and drawn by
Santini	PERSON	was published in '' Gavroche '' #
24-30	DATE	-LRB-
1941	DATE	-RRB- .
		
		"This series was interrupted because of censorship ; a sequel , '' Fantômas et l'Enfer Sous-Marin '' was written but not published ."
		
		* A daily `` Fantômas '' strip drawn by
Pierre Tabary	PERSON	was syndicated by
Opera Mundi	ORGANIZATION	from
November 1957	DATE	to
March 1958	DATE	-LRB- 192 strips in total -RRB- , adapting the first two novels .
		
